Cell Index,Area,Diameter,Circularity,Fluorescence,Rect X,Rect Y,Rect Width,Rect Height
1,360,21.4095,0.939874,189.442,2777,2022,23,23
2,316,20.0585,0.507419,159.93,947,1985,14,41
3,227,17.0007,0.81836,170.447,2929,1982,19,20
4,98,11.1704,0.779753,208.958,0,1957,9,16
5,280,18.8814,0.941545,196.988,2574,1904,20,20
6,182,15.2227,0.938229,204.199,2424,1898,16,16
7,215,16.5453,0.890641,202.155,348,1862,16,19
8,217,16.6221,0.920393,171.417,2810,1855,20,18
9,197,15.8376,0.934926,207.188,2798,1776,16,17
10,1,1.12838,0.269506,212.5,1476,1771,2,3
11,300,19.5441,0.940814,200.357,82,1764,20,21
12,204,16.1165,0.876756,195.5,1617,1744,15,20
13,258,18.1245,0.77302,191.914,2862,1739,16,24
14,3,1.95441,0.808518,198.333,2455,1719,3,3
15,167,14.5819,0.859803,174.857,1906,1705,20,14
16,3,1.95441,0.257428,116.875,2226,1685,6,4
17,232,17.187,0.875863,176.591,2826,1632,22,17
18,152,13.9116,0.846447,176.071,3022,1585,14,18
19,308,19.803,0.831171,173.4,175,1552,25,20
20,295,19.3805,0.939027,196.714,864,1528,20,21
21,258,18.1245,0.641121,155.125,1715,1526,30,16
22,190,15.5536,0.939939,200.625,1789,1508,16,17
23,320,20.1851,0.926318,193.182,1640,1478,22,21
24,234,17.2609,0.914735,186.429,824,1459,21,17
25,266,18.4033,0.936918,197.289,2954,1396,20,19
26,308,19.803,0.943549,205.214,1927,1385,21,20
27,235,17.2977,0.836669,182.242,2457,1382,16,23
28,318,20.1219,0.867526,215.156,1782,1331,16,26
29,222,16.8125,0.944798,195.185,928,1330,18,18
30,214,16.5068,0.887922,191.25,904,1319,20,16
31,228,17.0382,0.8345,193.527,379,1306,24,14
32,256,18.0541,0.38021,102.895,2572,1290,39,19
33,174,14.8843,0.907946,187,1298,1247,18,15
34,10,3.56825,0.521954,183.6,227,1204,5,5
35,311,19.8992,0.939221,197.177,55,1198,21,21
36,205,16.1559,0.717602,177.589,2886,1154,24,14
37,72,9.57461,0.904888,204,2836,1152,10,11
38,231,17.1499,0.914594,192.368,1894,1144,18,19
39,222,16.8125,0.386064,115.547,1832,1122,32,18
40,3,1.95441,0.808518,170,401,1041,3,3
41,245,17.6619,0.731693,132.561,1710,1006,23,23
42,363,21.4985,0.392438,113.854,395,967,25,37
43,154,14.0028,0.834028,173.596,527,905,20,13
44,216,16.5837,0.461302,114.704,886,894,18,31
45,263,18.2992,0.894514,190.435,1853,876,17,23
46,268,18.4724,0.940271,189.173,2525,875,19,21
47,166,14.5381,0.947068,200.812,938,836,16,15
48,154,14.0028,0.93928,199.467,892,830,15,15
49,282,18.9487,0.942977,208.697,884,743,20,19
50,202,16.0373,0.94424,199.412,1300,734,17,17
51,165,14.4943,0.924668,201.429,2591,697,17,14
52,194,15.7165,0.932764,192.353,2091,635,17,17
53,235,17.2977,0.602947,189.833,1772,630,12,30
54,155,14.0482,0.920227,177,1182,625,15,17
55,247,17.7339,0.895065,205.044,1993,583,19,18
56,246,17.6979,0.917791,216.316,1153,575,17,19
57,135,13.1106,0.932972,189.429,2552,562,15,14
58,236,17.3345,0.39354,94.7727,2064,552,22,34
59,205,16.1559,0.873063,200.357,2294,549,21,14
60,185,15.3476,0.727386,173.269,1529,488,13,24
61,283,18.9823,0.887438,195.625,759,473,17,24
62,257,18.0893,0.758345,160.493,808,436,24,19
63,270,18.5412,0.927614,200.645,2757,431,19,20
64,260,18.1946,0.72922,162.73,1478,428,19,24
65,204,16.1165,0.865219,171.491,2123,425,18,19
66,327,20.4046,0.940627,207.477,2255,407,22,20
67,284,19.0158,0.94094,199.537,806,400,20,20
68,223,16.8503,0.931133,195.972,2094,395,18,18
69,96,11.0558,0.45372,127.5,2632,332,20,12
70,188,15.4716,0.925386,200.222,2264,328,18,15
71,202,16.0373,0.935536,190.411,1306,320,16,19
72,267,18.4379,0.936799,197.961,1296,265,20,19
73,234,17.2609,0.92183,205.263,2845,240,19,17
74,206,16.1953,0.733109,199.75,1335,240,25,12
75,2,1.59577,0.785398,141.667,779,198,3,3
76,327,20.4046,0.63368,152.414,2107,85,21,29
77,293,19.3147,0.709178,154.417,2310,72,18,30
78,259,18.1595,0.930462,184.811,939,58,22,18
79,2,1.59577,0.785398,141.667,1061,8,3,3
80,118,12.2573,0.721799,198.333,2820,0,18,10
81,75,9.77205,0.688901,185.273,2534,0,16,8
82,102,11.3961,0.353084,132.56,2337,0,28,9
