Cell Index,Area,Diameter,Circularity,Fluorescence,Rect X,Rect Y,Rect Width,Rect Height
1,63,8.95623,0.682605,40.7521,2696,2037,10,10
2,68,9.30485,0.677159,43.6154,2846,1996,9,12
3,160,14.273,0.911415,54.957,2488,1915,14,14
4,16,4.51352,0.43234,33.4898,2339,1910,4,6
5,17,4.65243,0.685223,45.3889,2728,1870,5,5
6,145,13.5875,0.743964,58.6786,920,1845,17,12
7,208,16.2737,0.893346,81.317,1656,1810,16,17
8,111,11.8882,0.860949,48.4286,2712,1785,11,13
9,8,3.19154,0.644916,42.75,1531,1758,4,3
10,111,11.8882,0.769632,55.9824,2774,1755,16,9
11,33,6.48204,0.87368,51.5,1820,1716,6,7
12,299,19.5115,0.941623,89.1595,1689,1673,20,19
13,71,9.50789,0.826374,47.7769,2934,1599,12,7
14,217,16.6221,0.939925,83.9052,2996,1568,16,17
15,162,14.3619,0.870867,71.7042,1018,1429,14,15
16,47,7.73578,0.707811,46.0682,2873,1408,6,9
17,4,2.25676,0.176498,32.5417,1846,1399,3,5
18,319,20.1535,0.931331,89.7835,2238,1358,20,21
19,352,21.1703,0.944504,98.4979,2730,1347,21,21
20,172,14.7986,0.901024,68.5037,1004,1286,14,16
21,2,1.59577,0.571505,53.375,1215,1259,3,1
22,330,20.498,0.935028,102.056,1995,1195,21,20
23,1,1.12838,0.785398,60.25,2810,1169,1,1
24,500,25.2313,0.740062,78.5248,2340,1075,24,30
25,329,20.4669,0.947805,97.4199,1386,1016,20,21
26,351,21.1402,0.929001,82.2381,495,972,23,20
27,197,15.8376,0.939912,80.2076,2655,967,16,16
28,183,15.2644,0.938648,73.3824,862,951,15,16
29,236,17.3345,0.93824,90.8395,54,906,17,17
30,900,33.8514,0.52538,63.758,624,910,42,34
31,55,8.36828,0.690869,50.0208,1766,888,11,7
32,79,10.0293,0.927953,52.3802,796,753,10,10
33,324,20.3108,0.936419,96.9091,1542,743,20,21
34,165,14.4943,0.918998,61.2695,1208,740,15,15
35,89,10.6451,0.826823,50.3067,2505,704,14,9
36,31,6.28255,0.855286,48.4464,1094,634,6,7
37,340,20.8063,0.925238,104.268,2986,614,20,21
38,198,15.8777,0.921412,73.7092,27,610,14,17
39,35,6.67558,0.733855,54.5714,2467,570,6,7
40,35,6.67558,0.824456,41.2361,2212,556,6,8
41,20,5.04627,0.708294,55.9444,982,442,5,5
42,108,11.7265,0.819639,47.7802,2672,439,11,13
43,59,8.66724,0.772994,44.0364,2036,435,8,10
44,146,13.6343,0.936364,63.9857,2006,401,13,14
45,308,19.803,0.946575,93.2068,629,367,19,21
46,250,17.8412,0.937973,84.425,231,354,19,17
47,330,20.498,0.929156,102.509,1025,343,21,19
48,28,5.97082,0.744191,46.6964,2544,336,6,7
49,66,9.167,0.885802,55.1515,2178,335,8,10
50,71,9.50789,0.848585,54.0818,1209,273,10,9
51,16,4.51352,0.48972,33.0208,2764,249,4,6
52,5,2.52313,0.535857,42.3125,1253,248,2,3
53,74,9.70669,0.805256,58.375,2827,189,7,13
54,209,16.3128,0.924038,78.1912,1329,172,16,16
55,301,19.5766,0.941507,96.825,1837,166,19,20
56,474,24.5666,0.908267,95.4801,1460,136,26,22
57,52,8.13686,0.603815,36.425,2023,101,7,9
58,141,13.3988,0.767711,55.125,2221,79,15,13
59,347,21.0194,0.940932,101.559,544,20,22,20
60,47,7.73578,0.676032,37.7727,2736,0,10,6
61,52,8.13686,0.451083,68.0648,2205,0,17,4
